Good Guy ID,Bank,Defense Level,Strategy,Last Action,Attack Count,Turns
3556,514.4,33,one_two_one,money,2,100
3557,180.0,1,not_weakest,money,3,100
3558,535.6,33,random,defense,3,100
3559,130.0,33,one_two_one,money,3,100
3560,0.0,0,copycat,money,18,100
3561,65.0,87,analyst,defense,1,100
3562,550,45,random,money,0,100
3563,330,67,two_one_two,defense,0,100
3564,340.0,1,not_weakest,money,4,100
3565,0.0,0,copycat,money,18,100
3566,10.0,99,be_strongest,defense,1,100
3567,10,99,be_strongest,defense,0,100
3568,26.0,87,analyst,defense,2,100
3569,0.0,0,copycat,money,17,100
3570,330.0,67,two_one_two,defense,1,100
3571,65.0,87,analyst,defense,1,100
3572,50.0,0,copycat,money,16,100
3573,360.0,1,not_weakest,money,3,100
3574,65.0,87,analyst,defense,2,100
3575,30.0,0,copycat,money,17,100
3576,10,99,be_strongest,defense,0,100
3577,586.8,33,one_two_one,money,2,100
3578,65.0,87,analyst,defense,1,100
3579,65.0,87,analyst,defense,2,100
3580,65.0,87,analyst,defense,1,100
3581,484.0,51,random,money,1,100
3582,330.0,67,two_one_two,defense,1,100
3583,30.0,0,copycat,money,17,100
3584,10,99,be_strongest,defense,0,100
3585,10,99,be_strongest,defense,0,100
3586,530.8,33,one_two_one,money,2,100
3587,330,67,two_one_two,defense,0,100
3588,410.0,1,not_weakest,money,4,100
3589,610.0,1,not_weakest,money,4,100
3590,35.0,95,late_planner,defense,1,100
3591,330.0,67,two_one_two,defense,1,100
3592,10.0,99,be_strongest,defense,2,100
3593,10.0,99,be_strongest,defense,1,100
3594,52.0,87,analyst,defense,2,100
3595,261.99999999999994,42,random,defense,2,100
3596,413.0,50,random,defense,3,100
3597,50.0,0,copycat,money,16,100
3598,10.0,99,be_strongest,defense,2,100
3599,30.0,95,late_planner,defense,1,100
3600,390.0,1,not_weakest,money,3,100
3601,395.2,49,random,money,3,100
3602,550.4,33,one_two_one,money,2,100
3603,530.0,47,random,defense,1,100
3604,35.0,95,late_planner,defense,2,100
3605,10.0,99,be_strongest,defense,1,100
3606,10,99,be_strongest,defense,0,100
3607,550.4,33,one_two_one,money,2,100
3608,0.0,0,copycat,money,17,100
3609,35.0,95,late_planner,defense,1,100
3610,10.0,99,be_strongest,defense,2,100
3611,500.0,50,random,defense,1,100
3612,24.0,96,analyst,defense,2,100
3613,400.0,51,random,money,2,100
3614,50.0,0,copycat,money,16,100
3615,10.0,99,be_strongest,defense,1,100
3616,65.0,87,analyst,defense,1,100
